Date,Revenue,Units,ASP,Cost,Profit,Margin,Discount
2024-01-01,843347.7338333746,13726,92.51443724341087,445012.010895337,398335.7229380376,0.46564262387609795,0.10239845357637128
2024-02-01,925832.1527883308,15027,91.13646727527087,487034.91483572376,438797.23795260704,0.4675847836753423,0.10027170158215153
2024-03-01,1002931.5247644789,16476,90.32526329715888,529930.1873913455,473001.3373731334,0.46690348316638036,0.10151742105814338
2024-04-01,1031082.1515397422,17076,90.75755616660807,546251.1598369617,484830.99170278065,0.4661851043203605,0.10018907859448596
2024-05-01,1055312.6806985869,17388,90.87327460453834,555343.4387506247,499969.2419479622,0.4684374466278447,0.10110244264034302
2024-06-01,1001157.9430825296,16537,90.53814454304033,530358.9513482889,470798.9917342407,0.4660909166325695,0.10116612473389595
2024-07-01,721278.3432972066,20502,60.925860348781434,413719.05894745275,307559.2843497538,0.4328251134566503,0.2639152904158833
2024-08-01,716769.1549211497,20565,61.009330728972564,412390.2918217641,304378.86309938563,0.4321188416414196,0.260911657369676
2024-09-01,720979.6099294149,20595,60.46167790967175,415775.7181491834,305203.8917802316,0.4309263598494433,0.2645659830472111
2024-10-01,752515.4875583401,21600,60.75342203118972,434177.81242977316,318337.6751285669,0.43063997540642407,0.2621155419555031
2024-11-01,993195.5541758665,28341,61.03675144026676,570629.4315194573,422566.1226564092,0.43242001158481863,0.2614178468784686
2024-12-01,1086484.8275049236,31077,60.988094806162444,626287.8021016045,460197.0254033191,0.43132126463757153,0.26133957947905334
