Date,Month,Quarter,Product,Category,Region,Customer Segment,Units Sold,Revenue,Cost,Profit,Discount,Acquisition Channel,Revenue_Outlier_Flag,ASP,Profit Margin
2024-01-01,Jan,Q1,Eco Basics,Essentials,North,Value Seekers,97,2240.744850118992,1379.8176036398877,860.9272464791043,0.08619221345251732,Organic Search,False,23.10046237236074,0.38421476074502003
2024-01-01,Jan,Q1,Eco Basics,Essentials,North,Value Seekers,95,2053.8342225866227,1293.435128939555,760.3990936470677,0.08414657607627049,Email,False,21.619307606174974,0.3702339192154527
2024-01-01,Jan,Q1,Eco Basics,Essentials,North,Value Seekers,75,1365.5752892983578,804.257586338284,561.3177029600738,0.16604905678915086,Paid Social,False,18.207670523978106,0.4110485209852346
2024-01-01,Jan,Q1,Eco Basics,Essentials,North,Value Seekers,90,1782.263393454008,1059.6955545695541,722.567838884454,0.12594281176897568,Paid Search,False,19.802926593933424,0.4054214666240353
2024-01-01,Jan,Q1,Eco Basics,Essentials,North,Mainstream,89,1924.5853459626912,1174.384116240973,750.2012297217182,0.0516882051171981,Organic Search,False,21.624554449019,0.3897988890414533
2024-01-01,Jan,Q1,Eco Basics,Essentials,North,Mainstream,85,1851.7782621889621,1138.3797839456522,713.3984782433099,0.07277306474274665,Email,False,21.78562661398779,0.38525048749627894
2024-01-01,Jan,Q1,Eco Basics,Essentials,North,Mainstream,80,1550.9292365081255,984.538887780431,566.3903487276946,0.13966256938155167,Paid Social,False,19.38661545635157,0.3651941915821426
2024-01-01,Jan,Q1,Eco Basics,Essentials,North,Mainstream,73,1483.049233154972,924.7457128441682,558.3035203108037,0.08947890875072444,Paid Search,False,20.31574291993112,0.37645649775435575
2024-01-01,Jan,Q1,Eco Basics,Essentials,North,Premium,63,1425.5877482105593,845.9246728618482,579.6630753487111,0.04710879294029399,Organic Search,False,22.628376955723162,0.40661339582661377
2024-01-01,Jan,Q1,Eco Basics,Essentials,North,Premium,64,1473.6342731005593,866.8878741620357,606.7463989385236,0.05200389479013229,Email,False,23.02553551719624,0.41173472279652923
